course_id,title,sec_id,last_name,first_name,room_num,days,start_hr,start_min,end_hr,end_min
AFST 100,Introduction to The Black Experience,1,Robinson Jr.,Thomas,SOND208,NNYNNNN,16,30,19,0
AGNG 200,Aging People, Policy and Management,1,Gurney,Steven,FA  306,NNYNNNN,16,30,19,0
AGNG 470,Aging Service Management: Capstone Seminar,1,Compton,Richard,FA  303,NNYNNNN,16,30,19,0
ANTH 310,Ethnographic Film,1,Rehak,Jana,SOND101,NNYNNNN,16,30,19,0
ECON 374,Financial Management,1,Lamdin,Douglas,ENGR027,NNYNNNN,16,30,19,0
ECON 475,Financial Investment Analysis,1,Lamdin,Douglas,ENGR027,NNYNNNN,16,30,19,0
EDUC 216,Foundations of Leadership Development,1,Janet,Corinne,MEYR256,NNYNNNN,16,30,19,0
EDUC 410,Teaching Reading in the Content Areas: Part I,2,Feldman,Kimberly,SHER109,NNYNNNN,16,30,19,0
EDUC 417,Processes and Acquisition of Reading,1,Jones,Tracy,ITE 456,NNYNNNN,16,30,19,0
EDUC 453,Elementary Internship Seminar,1,Blunck,Susan,SHER110,NNYNNNN,16,30,19,0
ENGL 407,Language in Society,1,McCarthy,Lucille,PAHB428,NNYNNNN,16,30,19,0
ENGL 411,Advanced Topics in Literary History,1,Falco,Raphael,PAHB107,NNYNNNN,16,30,19,0
HAPP 470,Health Administration and Policy Program Internshi,1,Damasiewicz,Meryl,PUP 208,NNYNNNN,16,30,19,0
HONR 300,General Honors Seminar,2,Short,John,PAHB123,NNYNNNN,16,30,19,0
IS 147,Introduction to Computer Programming,2,Comitz,Paul,ITE 467,NNYNNNN,16,30,19,0
IS 310,Software and Hardware Concepts,3,Fayyaz,Kamran,ENGR022,NNYNNNN,16,30,19,0
IS 310,Software and Hardware Concepts,5,Billingslea,Willie,ENGR333,NNYNNNN,16,30,19,0
IS 451U,LAN Management Using Unix,1,Pelkey,Kevin,ITE 469,NNYNNNN,16,30,19,0
MGMT 410,Production Management,1,Frock,Suzanne,ITE 459,NNYNNNN,16,30,19,0
MLL 305,Introduction to Intercultural Communication,3,Kohler,Katherine,MP  104,NNYNNNN,16,30,19,0
POLI 409,Selected Topics in Political Science,3,Anson,Ian,MP  008,NNYNNNN,16,30,19,0
POLI 488,Politics and International Relations of South Asia,1,Hagerty,Devin,PUP 354,NNYNNNN,16,30,19,0
PSYC 216,Foundations of Leadership Development,1,Janet,Corinne,MEYR256,NNYNNNN,16,30,19,0
PSYC 340,Social Psychology,1,Resta,S,MP  106,NNYNNNN,16,30,19,0
PSYC 346,Industrial/Organizational Psychology,1,Cooper,Colin,SOND409,NNYNNNN,16,30,19,0
SOCY 321,Race and Ethnic Relations,1,Phillips,Karon,PUP 105,NNYNNNN,16,30,19,0
SOWK 370,Social Work and the Criminal Justice System,1,Shannon,James,SOND108,NNYNNNN,16,30,19,0
SOWK 470,Social Work Research,1,Wiechelt,Shelly,SOND107,NNYNNNN,16,30,19,0
SPAN 401,Studies in Spanish Language,1,Munoz Davaslioglu,Thania,MP  105,NNYNNNN,16,30,19,0
AFST 100,Introduction to The Black Experience,2,Henderson,Tammy,SOND113,NYNYNNN,14,30,15,45
ARBC 102,Elementary Arabic II,2,Didich,Amina,SOND205,NYNYNNN,14,30,15,45
ARCH 340,Cities of the Past,1,Kutner,Melissa,PAHB441,NYNYNNN,14,30,15,45
ART 216,Studies in Visual Culture (Prehistory through the ,2,Anderson,Kimberly,FA  107,NYNYNNN,14,30,15,45
ASIA 300,Topics in Asian Studies,1,Hebbar,Balaji,FA  011,NYNYNNN,14,30,15,45
ASIA 300,Topics in Asian Studies,2,Beck,Gina,PAHB151,NYNYNNN,14,30,15,45
BIOL 141,Foundations of Biology: Cells, Energy and Organism,1,Feeser,Elizabeth,MEYR030,NYNYNNN,14,30,15,45
CMPE 314,Principles of Eletronic Circuits,1,Yan,Li,SHER150,NYNYNNN,14,30,15,45
CMPE 419,Computer Arithmetic Algorithms and Implementations,1,Phatak,Dhananjay,ITE 231,NYNYNNN,14,30,15,45
CMSC 201,Computer Science I for Majors,19,Wilson,Krystle,ENGR027,NYNYNNN,14,30,15,45
CMSC 202,Computer Science II for Majors,11,Dixon,Jeremy,ITE 102,NYNYNNN,14,30,15,45
CMSC 341,Data Structures,3,Park,John,FA  014,NYNYNNN,14,30,15,45
CMSC 411,Computer Architecture,3,Squire,Jon,ITE 227,NYNYNNN,14,30,15,45
CMSC 471,Introduction to Artificial Intelligence,2,Morawski,Maksym,SHER013,NYNYNNN,14,30,15,45
CMSC 478,Introduction to Machine Learning,1,Oates,James,ITE 233,NYNYNNN,14,30,15,45
CMSC 491,Special Topics in Computer Science,6,Pirsiavash,Hamed,SHER015,NYNYNNN,14,30,15,45
DANC 340,Dance and Technology,1,Hess-Vait,Carol,PAHB230,NYNYNNN,14,30,15,45
ECON 121,Principles of Accounting I,4,Medicus,Suzann,MP  106,NYNYNNN,14,30,15,45
ECON 121,Principles of Accounting I,8,Channel-Ward,Matilda,PUP 208,NYNYNNN,14,30,15,45
ECON 312,Intermediate Macroeconomic Analysis,3,Thomas,Mark,PUP 206,NYNYNNN,14,30,15,45
ENCH 476,Environmental Risk Assessment & Remediation,1,Ghosh,Upal,FA  001,NYNYNNN,14,30,15,45
ENGL 100,Composition,19,Banks,Kimberly,PAHB318,NYNYNNN,14,30,15,45
ENGL 100,Composition,21,Burns,Margie,PAHB317,NYNYNNN,14,30,15,45
ENGL 300,Texts and Contexts,2,Maher,Jennifer,PAHB428,NYNYNNN,14,30,15,45
ENGL 307,American Literature: from New World Contact to the,1,DiCuirci,Lindsay,PAHB107,NYNYNNN,14,30,15,45
ENGL 393,Technical Communication,6,Bozic,Patricia,PAHB314,NYNYNNN,14,30,15,45
ENGL 393,Technical Communication,9,Nilsen,Kirsten,ENGR021,NYNYNNN,14,30,15,45
ENME 321,Transfer Processes,1,Ma,Ronghui,SHER003,NYNYNNN,14,30,15,45
FREN 201,Intermediate French I,4,Mushayuma,Georges,ITE 237,NYNYNNN,14,30,15,45
FYS 101Y,First Year Seminar (AH),1,Lee,Diane,MEYR256,NYNYNNN,14,30,15,45
GERM 201,Intermediate German I,2,Wolff,Xenia,PAHB123,NYNYNNN,14,30,15,45
GERM 375,Germany Then and Now: Explorations of German Cultu,1,Sutton,Susanne,SHER007,NYNYNNN,14,30,15,45
GES 110,Physical Geography,300,Studds,Colin,FA  306,NYNYNNN,14,30,15,45
GES 400,Selected Topics In Geography,1,Aufseeser,Dena,SOND203,NYNYNNN,14,30,15,45
GES 406,Aquatic Ecology,1,Swan,Christopher,SOND006,NYNYNNN,14,30,15,45
GREK 362,Selections from Greek Historians,1,Rosenbloom,David,UNKWN,NYNYNNN,14,30,15,45
GWST 100,Introduction to Gender and Women's Studies,2,Kein,Kathryn,SOND110,NYNYNNN,14,30,15,45
GWST 333,Human Sexuality in Cross-Cultural Perspective,1,Lottes,Ilsa,PUP 105,NYNYNNN,14,30,15,45
HAPP 100,Survey of the US Healthcare System,2,Damasiewicz,Meryl,MP  103,NYNYNNN,14,30,15,45
HAPP 380,Global Issues in Health and Disease,2,Pinet Peralta,Luis,BIOL120,NYNYNNN,14,30,15,45
HIST 201,Introduction to the Study of History,1,Ritschel,Daniel,FA  215,NYNYNNN,14,30,15,45
HIST 328,Colonial Latin America,1,Hernandez-Fujigaki,Jorge,SG_32220,NYNYNNN,14,30,15,45
HIST 446,History of Science Since 1700,1,Tatarewicz,Joseph,SOND108,NYNYNNN,14,30,15,45
HIST 496,Historical Research,1,Blair,Melissa,SHER006,NYNYNNN,14,30,15,45
IS 310,Software and Hardware Concepts,4,Martens,Jeffrey,PHYS201,NYNYNNN,14,30,15,45
IS 369,Research Seminar: Writings In Information Systems,2,Ryan,William,ITE 468,NYNYNNN,14,30,15,45
IS 436,Structured Systems Analysis and Design,1,Everhart,Amy,ITE 229,NYNYNNN,14,30,15,45
LRC 99,Introductory Algebra,1,Webb,Deborah,SHER145,NYNYNNN,14,30,15,45
MATH 221,Introduction to Linear Algebra,5,Peercy,Bradford,MP  101,NYNYNNN,14,30,15,45
MCS 333,History and Theory of Mass Communication and Media,2,Yang,Fan,FA  427,NYNYNNN,14,30,15,45
MCS 390,Transcultural Studies in Global Television,1,Larkey,Edward,SOND202,NYNYNNN,14,30,15,45
MCS 499,Capstone Senior Seminar,2,Adelman,Rebecca,FA  404,NYNYNNN,14,30,15,45
MLL 220,Film and Society in China,1,Brown,William,UC  115,NYNYNNN,14,30,15,45
MLL 480,Transcultural Studies in Global Television,1,Larkey,Edward,SOND202,NYNYNNN,14,30,15,45
MUSC 310,Beginning Gamelan,1,Beck,Gina,PAHB151,NYNYNNN,14,30,15,45
MUSC 322,Music History II,1,Johnson,Lindsay,PAHB132,NYNYNNN,14,30,15,45
PHED 123,Sports Officiating,1,Lloyd,Erica,PAHB234,NYNYNNN,14,30,15,45
PHIL 100,Introduction to Philosophy,9,Payne,Amy,PAHB108,NYNYNNN,14,30,15,45
PHIL 484,Kant's Theoretical Philosophy,1,Jacobs,David,PAHB456,NYNYNNN,14,30,15,45
POLI 320,American Political Thought,1,Vetter,Lisa,SOND204,NYNYNNN,14,30,15,45
POLI 377,Latin American Politics,1,Filomeno,Felipe,FA  424,NYNYNNN,14,30,15,45
POLI 380,International Relations Theory,1,Hody,Cynthia,SOND207,NYNYNNN,14,30,15,45
PSYC 230,Psychology and Culture,2,Robinson Jr.,Thomas,MP  104,NYNYNNN,14,30,15,45
PSYC 400,Seminar in Developmental Psychology,2,Sonnenschein,Susan,SOND406,NYNYNNN,14,30,15,45
SOCY 101,Basic Concepts in Sociology,2,Cousin-Gossett,Nicole,ITE 104,NYNYNNN,14,30,15,45
SOCY 333,Human Sexuality in Cross-Cultural Perspective,1,Lottes,Ilsa,PUP 105,NYNYNNN,14,30,15,45
SPAN 102,Elementary Spanish II,9,Gomez-Rubio,Maria,SOND206,NYNYNNN,14,30,15,45
SPAN 103,Intensive Review of Elementary Spanish,5,Miranda-Aldaco,Citlali,SOND208,NYNYNNN,14,30,15,45
SPAN 201,Intermediate Spanish I,14,Carmody,Sean,SOND209,NYNYNNN,14,30,15,45
SPAN 307,España y sus Culturas I,1,Arevalo-Guerrero,Elisabeth,PUP 203,NYNYNNN,14,30,15,45
THTR 244,Script Analysis,1,Abele,Eric,PAHB201,NYNYNNN,14,30,15,45
AFST 100,Introduction to The Black Experience,3,Belilgne,Maleda,SOND206,YNYNNNN,14,30,15,45
AFST 205,Contemporary Black Popular Culture,1,Henderson,Tammy,MP  012,YNYNNNN,14,30,15,45
AMST 375,Studies in Asian American Culture,2,Gonzalves,Theodore,FA  011,YNYNNNN,14,30,15,45
ANTH 313,Applied Anthropology,1,Rehak,Jana,PUP 203,YNYNNNN,14,30,15,45
CHIN 102,Elementary Chinese II,2,Tong,Christopher,SHER006,YNYNNNN,14,30,15,45
CMPE 310,Systems Design and Programming,1,Slaughter,Gymama,ITE 233,YNYNNNN,14,30,15,45
CMPE 418,VLSI Design Verification and Testing,1,Karimi,Naghmeh,SOND209,YNYNNNN,14,30,15,45
CMPE 422,Digital Signal Processing,1,Robucci,Ryan,ITE 227,YNYNNNN,14,30,15,45
CMSC 313,Computer Organization and Assembly Language Progra,3,Kraya,Ramsey,SHER015,YNYNNNN,14,30,15,45
CMSC 331,Principles of Programming Language,2,Shehab Uddin Ayub,Abu,FA  303,YNYNNNN,14,30,15,45
CMSC 433,Scripting Languages,2,Lupoli,Shawn,SHER013,YNYNNNN,14,30,15,45
ECON 311,Intermediate Microeconomic Analysis,1,Bernedo Del Carpio,Maria,PUP 105,YNYNNNN,14,30,15,45
ECON 421,Introduction to Econometrics,1,Viauroux,Christelle,SOND101,YNYNNNN,14,30,15,45
ENCH 412,Environmental Physicochemical Processes,1,Hennigan,Christopher,FA  006,YNYNNNN,14,30,15,45
ENGL 100,Composition,3,Dunnigan,Brian,PAHB314,YNYNNNN,14,30,15,45
ENGL 100,Composition,9,Rudacille,Victoria,PAHB317,YNYNNNN,14,30,15,45
ENGL 100,Composition,23,Lee,Seol,PAHB318,YNYNNNN,14,30,15,45
ENGL 271,Introduction to Creative Writing - Fiction,2,Bloom,Ryan,PAHB107,YNYNNNN,14,30,15,45
ENGL 300,Texts and Contexts,1,Shipka,Jody,PAHB108,YNYNNNN,14,30,15,45
ENGL 303,The Art of the Essay,1,Purpura,Lia,FA  018,YNYNNNN,14,30,15,45
ENGL 306,British Literature: Victorian and Modern,1,Fernandez,Jean,PAHB428,YNYNNNN,14,30,15,45
ENME 489,Special Topics in Mechanical Engineering,1,Rothman,Neil,FA  015,YNYNNNN,14,30,15,45
FREN 302,Advanced French II,1,Digeon,Landry,SOND112,YNYNNNN,14,30,15,45
FYS 101Y,First Year Seminar (AH),3,Beall,Lisa,PAHB123,YNYNNNN,14,30,15,45
GES 102,Human Geography,100,Lansing,David,AD  101,YNYNNNN,14,30,15,45
GWST 357,Psychology of Women,1,Else-Quest,Nicole,SOND105,YNYNNNN,14,30,15,45
HAPP 340,Health Communication,1,Birger,Catherine,PHYS201,YNYNNNN,14,30,15,45
HIND 102,Elementary Hindi II,1,Saini,Uma,SHER210,YNYNNNN,14,30,15,45
HIST 413,American Revolution,1,Bouton,Robert,FA  014,YNYNNNN,14,30,15,45
HIST 463,Jews, Christians and Muslims in the Middle Ages,1,McDonough,Susan,ENGR022,YNYNNNN,14,30,15,45
HIST 496,Historical Research,2,Nolan,Andrew,SG_32203,YNYNNNN,14,30,15,45
HIST 497,Historical Research:,2,Nolan,Andrew,SG_TBA,YNYNNNN,14,30,15,45
HONR 300,General Honors Seminar,5,Davis,Jeffrey,PUP 354,YNYNNNN,14,30,15,45
IS 295,Intermediate Business Applications,3,Komlodi,Anita,ITE 469,YNYNNNN,14,30,15,45
IS 300,Management Information Systems,2,Branham,Stacy,ITE 229,YNYNNNN,14,30,15,45
IS 450,Data Communications and Networks,3,Martens,Jeffrey,SHER014,YNYNNNN,14,30,15,45
JDST 463,Jews, Christians and Muslims in the Middle Ages,1,McDonough,Susan,ENGR022,YNYNNNN,14,30,15,45
KORE 102,Elementary Korean II,5,Lee,Grace,ITE 231,YNYNNNN,14,30,15,45
MATH 221,Introduction to Linear Algebra,3,Nanes,Kalman,MP  101,YNYNNNN,14,30,15,45
MATH 404,Introduction to Partial Differential Equations I,1,Sousedik,Bedrich,MP  103,YNYNNNN,14,30,15,45
MCS 370,Special Topics in Media and Communication Studies,2,Patton,Elizabeth,FA  424,YNYNNNN,14,30,15,45
MUSC 101,Fundamentals of Music Theory,1,Richards,Kazuko,PAHB234,YNYNNNN,14,30,15,45
MUSC 307,Small Ensemble,10,Huh,Sammy,PAHB144,YNYNNNN,14,30,15,45
PHIL 152,Introduction to Moral Theory,2,Jenkins,Daniel,SOND204,YNYNNNN,14,30,15,45
PHIL 380,Philosophy of Mind,1,Yalowitz,Steven,PAHB229,YNYNNNN,14,30,15,45
POLI 439,Selected Topics in Public Law,1,Davis,Jeffrey,PUP 354,YNYNNNN,14,30,15,45
POLI 470,Politics of Human Rights,1,Grodsky,Brian,PHYS107,YNYNNNN,14,30,15,45
PSYC 210,Psychology of Learning,1,Borrero,John,SHER003,YNYNNNN,14,30,15,45
PSYC 285,Abnormal Psychology,2,Hunter,Bronwyn,LH1 101,YNYNNNN,14,30,15,45
PSYC 311,Research Methods in Psychology I,2,Abrams,Jasmine,SOND409,YNYNNNN,14,30,15,45
PSYC 316,Language and Thought,1,Baker,Linda,SOND202,YNYNNNN,14,30,15,45
PSYC 320,Psychological Assessment,1,Murphy,Julie,SHER145,YNYNNNN,14,30,15,45
PSYC 330,Child Development and Culture,1,Cheah,Charissa,UC  115,YNYNNNN,14,30,15,45
PSYC 345,Introduction to Clinical Psychology and Psychother,1,Anderson,Robert,PAHB132,YNYNNNN,14,30,15,45
PSYC 357,Psychology of Women,1,Else-Quest,Nicole,SOND105,YNYNNNN,14,30,15,45
RLST 463,Jews, Christians and Muslims in the Middle Ages,1,McDonough,Susan,ENGR022,YNYNNNN,14,30,15,45
RUSS 415,Political Russian,1,Zhdanovych,Vira,FA 301,YNYNNNN,14,30,15,45
SOCY 101,Basic Concepts in Sociology,3,Wallace,Brandy,ITE 104,YNYNNNN,14,30,15,45
SOCY 101Y,Basic Concepts in Sociology,3,Wallace,Brandy,ITE 104,YNYNNNN,14,30,15,45
SOCY 352,Issues in Health Care,1,Nolin,Michael,PHYS101,YNYNNNN,14,30,15,45
SPAN 102,Elementary Spanish II,3,Hernandez Moreno,Beatriz,ITE 241,YNYNNNN,14,30,15,45
SPAN 201,Intermediate Spanish I,6,Gomez Garcia,Jose,SOND207,YNYNNNN,14,30,15,45
SPAN 201,Intermediate Spanish I,7,Hernandez-Gordillo Lavana,Mary-Ely,SOND205,YNYNNNN,14,30,15,45
SPAN 202,Intermediate Spanish II,1,Hernandez,Milvia,MP  010,YNYNNNN,14,30,15,45
SPAN 308,Latinoamérica y sus Culturas I,1,Lizarazo Moreno,Tania,ITE 237,YNYNNNN,14,30,15,45
