course_id,title
AFST 100,Introduction to The Black Experience
AFST 205,Contemporary Black Popular Culture
AFST 206,Introduction to African-American History: A Survey
AFST 211,Introduction to Contemporary Africa
AFST 213,Africa: Culture and Development
AFST 215,Introduction to African Dance
AFST 245,Introduction to Black Music
AFST 255,Psychology of the Black Experience in the United States
AFST 261,Black Literature: Twentieth Century
AFST 314,Islam in Africa
AFST 347,"Gender, Race, and Media"
AFST 353,African American History Since 1865
AFST 360,Studies in Black Fiction
AFST 369,Black Families in the United States
AFST 439,Women in Africa and the Diaspora
AFST 440,Topics in African and African-American Studies
AFST 495,Field Research in Africana Studies
AGNG 100,So You Say You Want a Revolution: How Boomers are Revolutionizing Aging
AGNG 100Y,So You Say You Want a Revolution: How Boomers are Revolutionizing Aging
AGNG 200,"Aging People, Policy and Management"
AGNG 200Y,"Aging People, Policy and Management"
AGNG 300,Policy Analysis for Aging Issues
AGNG 310,Overview of Management in Aging
AGNG 320,Strength-Based Approaches to Promoting Health and Wellness in Aging
AGNG 351,Business Decision Making for Aging Services
AGNG 415,The Art of Aging
AGNG 460,Management of Aging Services Internship
AGNG 462,Internship - Aging Services II
AGNG 470,Aging Service Management: Capstone Seminar
AMST 100,Introduction to American Studies
AMST 100Y,Introduction to American Studies
AMST 200,What is an American?
AMST 210,Introduction to Critical Sexuality Studies
AMST 300,Approaches in American Studies
AMST 320,Television in American Culture
AMST 322,American Society and Culture in Film
AMST 352,American Culture in Global Perspective
AMST 375,Studies in Asian American Culture
AMST 376,The American Dream
AMST 464,Narratives of Contemporary U.S. Immigration
AMST 490,Senior Seminar
ANCS 150,English Word Roots from Latin and Greek
ANCS 202,The Roman World
ANCS 220,Judaism in the Time of Jesus and Hillel
ANCS 375,Ancient Medicine
ANTH 101,Introduction to Anthropology
ANTH 211,Cultural Anthropology
ANTH 211Y,Cultural Anthropology
ANTH 214,Focused Cultural Study: South Asia
ANTH 302,"Human Evolution, Physical Anthropology and Archaeology"
ANTH 310,Ethnographic Film
ANTH 313,Applied Anthropology
ANTH 397,Selected Topics in Anthropology
ANTH 424,Psychological Anthropology
ANTH 480,Anthropological Research: Capstone
ARBC 102,Elementary Arabic II
ARBC 202,Intermediate Arabic II
ARBC 302,Advanced Modern Standard Arabic II
ARCH 201,Roman Archaeology and Art
ARCH 330,Archaeology of the Prehistoric Aegean
ARCH 340,Cities of the Past
ARCH 350,Topics in Archaeology
ART 210,Visual Concepts I
ART 211,Visual Concepts II/Camera Vision
ART 212,"Visual Concepts III/Three Dimensional Form, Space and Interaction"
ART 213,Visual Concepts IV/Time-Based Media
ART 214,Drawing I/Beginning Drawing
ART 215,Introduction to Art and Media Studies
ART 216,Studies in Visual Culture (Prehistory through the 1750s)
ART 305,Moving Images I
ART 320,Introduction to Printmaking
ART 321,From the Enlightenment to the Birth of Modernism (1750-1880)
ART 325,History of Film and Video: 1965 to Present
ART 327,Contemporary Directions in Photography
ART 328,Postmodernism (1960 - present)
ART 329,Topics in Art History and Visual Culture
ART 331,"Graphic Design I: Image, Sign and Symbol"
ART 332,Design and Technology I: Print
ART 333,Typography I
ART 334,Graphic Design IV: Word and Image
ART 336,Design and Technology II: Screen
ART 337,Typography II
ART 338,Motion Design
ART 341,Introduction to Animation
ART 343,History of Animation
ART 347,Writing for Media Arts
ART 361,Digital Darkroom
ART 362,Black and White Photography
ART 369,Topics in Photography
ART 370,Silkscreen Printing
ART 376,Origins and Issues of Print Media
ART 380,History and Theory of Games
ART 383,Sound Design
ART 384,Introduction to 3D Computer Animation
ART 387,Animation in the Physical World
ART 392,Topics in Art or Media I
ART 395,Television Production Techniques I
ART 429,Seminar in Art History & Visual Culture
ART 430,Typography III
ART 431,Graphic Design III: Human Environmental Design
ART 434,Advanced Interface Design
ART 435,Topics in Film/Video
ART 447,Motion Graphics and Compositing
ART 460,Installation Art
ART 484,Advanced 3D Animation
ART 486,Real Time Animation
ART 488,Advanced Topics in Animation
ART 489,SENIOR PROJECTS
ASIA 214,Focused Cultural Study: South Asia
ASIA 300,Topics in Asian Studies
BIOL 123,Human Genetics
BIOL 141,"Foundations of Biology: Cells, Energy and Organisms"
BIOL 142,Foundations of Biology: Ecology and Evolution
BIOL 251,Human Anatomy and Physiology I
BIOL 251L,Human Anatomy and Physiology I Laboratory
BIOL 252,Human Anatomy and Physiology II
BIOL 252L,Human Anatomy and Physiology II Laboratory.
BIOL 275,Microbiology
BIOL 275L,Microbiology Laboratory
BIOL 300L,Experimental Biology Laboratory
BIOL 302,Molecular and General Genetics
BIOL 302L,Molecular and General Genetics Laboratory
BIOL 303,Cell Biology
BIOL 303L,Cell Biology Laboratory
BIOL 305L,Physiology Laboratory
BIOL 307,Human Physiology
BIOL 313,Introduction to Bioinformatics and Computational Biology
BIOL 316L,Phage Hunters Genome Analysis
BIOL 340L,Developmental Biology Laboratory
BIOL 395,MARC U*STAR Writing in the Sciences
BIOL 397,Ethics and Integrity in Scientific Research
BIOL 412,Microbial Systems and Synthetic Biology
BIOL 414,Eukaryotic Molecular Genetics
BIOL 415,Systems Biology
BIOL 420,Advanced Topics in Cell Biology
BIOL 425,Immunology
BIOL 430,Biological Chemistry
BIOL 454,Vision Science
BIOL 456,Plant Molecular Biology
BIOL 486,Genome Science
BIOL 495,Seminar in Bioinformatics
BIOL 499L,Undergraduate Research Seminar
CHEM 100,The Chemical World
CHEM 101,Principles of Chemistry I
CHEM 102,Principles of Chemistry II
CHEM 102H,Principles of Chemistry - Honors
CHEM 102L,Introductory Chemistry Lab I
CHEM 124,Introduction to General Organic and Biochemistry II
CHEM 124L,General Organic and Biochemistry Lab
CHEM 300,Analytical Chemistry
CHEM 302,Physical Chemistry II
CHEM 303,Physical Chemistry for the Biochemical Sciences
CHEM 312L,Advanced Laboratory II.
CHEM 351,Organic Chemistry I
CHEM 351L,Organic Chemistry Laboratory I
CHEM 352,Organic Chemistry II
CHEM 352L,Organic Chemistry Laboratory II
CHEM 401,Chemical and Statistical Thermodynamics
CHEM 437L,Biochemistry Laboratory
CHEM 438,Comprehensive Biochemistry II
CHEM 455,Introduction to Biomedicinal Chemistry
CHEM 461,Advanced Instrumental Methods of Analysis
CHEM 490,Special Topics in Chemistry
CHIN 102,Elementary Chinese II
CHIN 201,Intermediate Chinese I
CHIN 202,Intermediate Chinese II
CHIN 302,Advanced Chinese II
CHIN 319,Chinese Translation
CMPE 212,Principles of Digital Design
CMPE 306,Introductory Circuit Theory
CMPE 310,Systems Design and Programming
CMPE 314,Principles of Eletronic Circuits
CMPE 315,Principles of VLSI Design
CMPE 320,"Probability, Statistics, and Random Processes"
CMPE 330,Electromagnetic Waves and Transmission
CMPE 349,Introduction to Professional Practice
CMPE 415,Programmable Logic Devices
CMPE 418,VLSI Design Verification and Testing
CMPE 419,Computer Arithmetic Algorithms and Implementations
CMPE 422,Digital Signal Processing
CMPE 451,Capstone II
CMPE 491,Special Topics in Computer Engineering
CMSC 104,Problem Solving and Computer Programming
CMSC 201,Computer Science I for Majors
CMSC 202,Computer Science II for Majors
CMSC 203,Discrete Structures
CMSC 304,Social and Ethical Issues in Information Technology
CMSC 313,Computer Organization and Assembly Language Programming
CMSC 331,Principles of Programming Language
CMSC 341,Data Structures
CMSC 352,"Women, Gender, and Information Technology"
CMSC 411,Computer Architecture
CMSC 421,Principles of Operating Systems
CMSC 426,Principles of Computer Security
CMSC 433,Scripting Languages
CMSC 435,Computer Graphics
CMSC 441,Design and Analysis of Algorithms.
CMSC 443,Cryptology
CMSC 447,Software Engineering I
CMSC 453,Applied Combinatorics and Graph Theory
CMSC 461,Database Management Systems
CMSC 471,Introduction to Artificial Intelligence
CMSC 473,Introduction to Natural Language Processing
CMSC 478,Introduction to Machine Learning
CMSC 481,Computer Networks
CMSC 483,Parallel and Distributed Processing
CMSC 487,Introduction To Network Security
CMSC 491,Special Topics in Computer Science
CMSC 493,Capstone Games Group Project
DANC 110,Beginning Contemporary Dance Technique I
DANC 201,Dance History I: Cultural and Classical Forms
DANC 216,Ballet II--Intermediate Ballet
DANC 240,Music for Dance
DANC 260,Introduction to African Dance
DANC 290,Independent Projects in Choreography
DANC 301,Special Studies in Dance
DANC 310,Intermediate Contemporary Dance Technique I
DANC 315,Beyond Technique: The Body and Motion
DANC 316,Ballet III - High Intermediate Ballet
DANC 320,Intermediate Contemporary Dance Technique II
DANC 325,Dance and the Contemporary Arts
DANC 330,Dance Composition I
DANC 340,Dance and Technology
DANC 399,Dance Practicum
DANC 416,Ballet IV - Advanced Ballet
DANC 420,Advanced Contemporary Dance Technique II
DANC 475,Senior Projects in Dance
ECAC 317,Accounting Information Systems
ECAC 321,Auditing Theory and Practice
ECAC 330,Principles of Taxation
ECAC 401,Advanced Accounting
ECON 101,Principles of Microeconomics
ECON 102,Principles of Macroeconomics
ECON 121,Principles of Accounting I
ECON 122,Principles of Accounting II
ECON 301,Intermediate Accounting I
ECON 302,Intermediate Accounting II
ECON 311,Intermediate Microeconomic Analysis
ECON 312,Intermediate Macroeconomic Analysis
ECON 320,Quantitative Methods for Management
ECON 374,Financial Management
ECON 405,Benefit-Cost Evaluation
ECON 408,Managerial Economics
ECON 421,Introduction to Econometrics
ECON 423,Economic Forecasting
ECON 437,The Economics of Natural Resources
ECON 443,History of Economic Thought
ECON 451,Labor Economics
ECON 467,Health Economics
ECON 471,Financial Markets and Institutions
ECON 474,Intermediate Financial Management
ECON 475,Financial Investment Analysis
ECON 478,Real Estate Economics and Finance
ECON 482,International Finance
EDUC 216,Foundations of Leadership Development
EDUC 299,Special Topics in Education.
EDUC 306,Lifespan Human Development
EDUC 310,Inquiry into Education
EDUC 311,Psychological Foundations of Education
EDUC 313,Concepts and Practice of Peer-Assisted Learning I
EDUC 388,Inclusion and Instruction
EDUC 410,Teaching Reading in the Content Areas: Part I
EDUC 412,Analysis of Teaching and Learning
EDUC 414,Adolescent Literature
EDUC 416,Materials for Teaching Reading
EDUC 417,Processes and Acquisition of Reading
EDUC 418,Instruction of Reading
EDUC 419,Assessment for Reading Instruction
EDUC 420,Teaching Mathematics in the Elementary School
EDUC 433,Mathematics Processes in Early Childhood Education
EDUC 439,Observation and Assessment in Early Childhood
EDUC 441,Children's Literature and Other Materials for Early Literacy Development
EDUC 442,Process Seminar in Early Childhood Education- Creative Media Level I
EDUC 447,Teaching of Reading and Writing in Early Childhood Education
EDUC 453,Elementary Internship Seminar
EDUC 457,Secondary Internship Seminar
EHS 102,Emergency Medical Responder
EHS 200,Concepts of Emergency Health Services
EHS 203,Clinical Concepts and Practice II
EHS 311,Stress and Burnout: Personal and Professional Issues
EHS 330,Management of Search and Rescue Operations
EHS 345,Death and Dying
EHS 350,Supervision and Operations in Emergency Health Service Systems
EHS 351,"Financial Management, Budgeting and Resource Allocation for Emergency Health Administrators."
EHS 360,Instructional Issues in Emergency Health Services
EHS 400,Emergency Health Services Theory and Practice
EHS 464,Advanced Cardiac and Respiratory Emergencies
EHS 465,Medical Emergencies I
EHS 466,Medical Emergencies II
EHS 468,EMS Capstone Experience
EHS 482,ALS Field and Clinical Experience II
EHS 484,Advanced Cardiac & Respiratory Emergencies
EHS 492,Senior Paramedic Seminar II
EHS 498,Financial Management and Decision Support for Health Service Organizations
ELC 41,"Writing and Grammar for Academic Purposes, Level 4"
ELC 42,"Reading and Vocabulary for Academic Purposes, Level 4"
ELC 43,"Speaking and Listening for Academic Purposes, Level 4"
ELC 51,"Advanced Writing and Grammar for Academic Purposes, Level 5"
ELC 52,"Advanced Reading and Vocabulary for Academic Purposes, Level 5"
ELC 53,"Speaking and Listening for Academic Purposes, Level 5"
ELC 61,"Writing for Research and Professional Purposes, Level 6"
ELC 63,"Speaking and Listening for Research and Professional Purposes, Level 6"
ENCH 225L,Chemical Engineering Problem Solving and Experimental Design Lab
ENCH 333,Chemical Engineering Seminar
ENCH 412,Environmental Physicochemical Processes
ENCH 427,Transport Processes II: Mass Transfer
ENCH 440,Chemical Engineering Kinetics.
ENCH 442,Chemical Process Control & Safety
ENCH 446,Process Engineering Economics and Design II.
ENCH 450,Chemical Process Development
ENCH 476,Environmental Risk Assessment & Remediation
ENCH 484,Biomedical Engineering
ENCH 485L,Biochemical Engineering Laboratory.
ENES 100,Spatial Reasoning
ENES 101,Introduction to Engineering
ENGL 100,Composition
ENGL 110,Composition for ESL Students
ENGL 190,The World of Language I
ENGL 191,The World of Language II
ENGL 210,Introduction to Literature
ENGL 226,Grammar and Usage of Standard English
ENGL 233,Issues in World Literature
ENGL 261,Black Literature: Twentieth Century
ENGL 271,Introduction to Creative Writing - Fiction
ENGL 273,Introduction to Creative Writing - Poetry
ENGL 291,Introduction to Writing Creative Essays
ENGL 300,Texts and Contexts
ENGL 301,Analysis of Literary Language
ENGL 302,Literary Methodologies and Research
ENGL 303,The Art of the Essay
ENGL 304,British Literature: Medieval and Renaissance
ENGL 306,British Literature: Victorian and Modern
ENGL 307,American Literature: from New World Contact to the Civil War
ENGL 308,American Literature: The Civil War to 1945
ENGL 317,Literature and the Sciences
ENGL 321,Internship in Tutoring Writing
ENGL 324,Theories of Communication and Technology
ENGL 326,The Structure of English
ENGL 360,The Literature of Minorities
ENGL 373,Creative Writing-Poetry
ENGL 375,Masterworks for Creative Writers
ENGL 382,Feature Writing
ENGL 383,Science Writing
ENGL 385,New Media and Digital Literacies
ENGL 391,Advanced Exposition and Argumentation
ENGL 392,Tutorial in Writing
ENGL 393,Technical Communication
ENGL 405,Seminar in Literary History
ENGL 407,Language in Society
ENGL 411,Advanced Topics in Literary History
ENGL 414,Adolescent Literature
ENGL 415,Materials for Teaching Reading
ENGL 448,Seminar in Literature and Culture
ENGL 464,Studies in Women and Literature
ENGL 471,Advanced Creative Writing-Fiction
ENGL 480,Seminar in Advanced Journalism
ENGL 493,Seminar in Communication and Technology
ENME 110,Statics
ENME 204,Introduction to Engineering Design with CAD
ENME 217,Engineering Thermodynamics 
ENME 220,Mechanics of Materials
ENME 221,Dynamics
ENME 301,The Structure and Properties of Engineering Materials
ENME 303,Topics in Engineering Mathematics
ENME 304,Machine Design
ENME 320,Fluid Mechanics
ENME 321,Transfer Processes
ENME 332L,Solid Mechanics and Materials Laboratory
ENME 360,Vibrations
ENME 403,Automatic Controls.
ENME 408,Selected Topics in Engineering Design
ENME 425,Internal Combustion Engines
ENME 432L,Fluids/Energy Laboratory
ENME 444,Mechanical Engineering Systems Design
ENME 482L,Vibrations/Controls Laboratory
ENME 489,Special Topics in Mechanical Engineering
ENTR 200,Introduction to Entrepreneurship
ENTR 201,The Entrepreneurial Mindset
ENTR 320,Entrepreneurial Marketing
ENTR 340,"Innovation, Creative Problem-Solving & the Socialpreneur"
FREN 101,Elementary French I
FREN 102,Elementary French II
FREN 103,Intensive Review of Elementary French
FREN 201,Intermediate French I
FREN 202,Intermediate French II
FREN 301,Advanced French I
FREN 302,Advanced French II
FREN 315,French Phonetics
FREN 320,"Interconnections: Trade, Technology, and Globalization"
FREN 330,"Interconnections: Ideas, Literature and the Arts"
FREN 440,Studies in French Speaking Culture and Society
FYS 101,First Year Seminar (AH)
FYS 101Y,First Year Seminar (AH)
FYS 102,First Year Seminar (SS)
FYS 107,First Year Seminar (AH/C)
GCSP 302,Grand Challenges Program Seminar
GERM 101,Elementary German I
GERM 102,Elementary German II
GERM 201,Intermediate German I
GERM 202,Gateway to Advanced German Studies
GERM 302,Advanced German Studies II (L)
GERM 375,Germany Then and Now: Explorations of German Cultural and Intellectual History.
GERM 481,Seminar in Intercultural German Studies
GES 102,Human Geography
GES 110,Physical Geography
GES 120,Environmental Science and Conservation
GES 220,Lab and Field Techniques for Environmental Science
GES 286,Exploring the Environment: A Geo-Spatial Perspective
GES 302,Selective Topics in Geography
GES 307,Conservation Biology
GES 310,Geomorphology
GES 338,Chesapeake Bay: Changing Management & Policy
GES 341,Urban Geography
GES 383,Statistical and Thematic Cartography
GES 386,Introduction to Geographic Information Systems
GES 400,Selected Topics In Geography
GES 406,Aquatic Ecology
GES 413,Seminar in Biogeography
GES 419,Watershed Analysis & Modeling
GES 429,Seminar in Geography of Disease and Health
GES 462,GIS and Human-Environmental Systems
GES 488,Spatial Data Analysis and GIS Applications
GLBL 101,Introduction to Global Studies
GLBL 301,Approaches to Globalization
GREK 102,Elementary Greek II
GREK 362,Selections from Greek Historians
GWST 100,Introduction to Gender and Women's Studies
GWST 200,Studies in Feminist Activism
GWST 210,Introduction to Critical Sexuality Studies
