course_id,sec_id,semester,year,time_slot_id,prof_id,room_num
AFST 100,1,Spring,2017,1,558,SOND208
AFST 100,2,Spring,2017,2,271,SOND113
AFST 100,3,Spring,2017,3,51,SOND206
AFST 205,1,Spring,2017,3,271,MP  012
AFST 206,1,Spring,2017,4,685,SHER006
AFST 211,1,Spring,2017,5,479,FA  001
AFST 213,1,Spring,2017,6,479,SOND206
AFST 215,1,Spring,2017,7,18,FA  015
AFST 245,1,Spring,2017,8,18,PAHB107
AFST 255,1,Spring,2017,5,558,SOND207
AFST 261,1,Spring,2017,9,51,SHER011
AFST 314,1,Spring,2017,10,668,SHER207
AFST 347,1,Spring,2017,11,486,FA  427
AFST 353,1,Spring,2017,12,668,MP  012
AFST 360,1,Spring,2017,13,51,PHYS107
AFST 369,1,Spring,2017,6,271,SOND204
AFST 439,1,Spring,2017,14,302,MP  012
AFST 440,1,Spring,2017,15,271,MP  010
AFST 495,1,Spring,2017,5,398,SOND101
AGNG 100,1,Spring,2017,14,399,FA  306
AGNG 100Y,1,Spring,2017,14,399,FA  306
AGNG 200,1,Spring,2017,1,261,FA  306
AGNG 200,2,Spring,2017,6,399,SHER003
AGNG 200,4,Spring,2017,16,36,PAHB107
AGNG 200Y,1,Spring,2017,6,399,SHER003
AGNG 200Y,2,Spring,2017,17,487,FA  001
AGNG 300,1,Spring,2017,18,219,UNKWN
AGNG 310,1,Spring,2017,19,279,FA  006
AGNG 320,1,Spring,2017,19,336,MP  012
AGNG 351,1,Spring,2017,8,287,MP  012
AGNG 415,1,Spring,2017,20,405,UNKWN
AGNG 460,1,Spring,2017,21,405,SOND203
AGNG 462,1,Spring,2017,21,405,SOND203
AGNG 470,1,Spring,2017,1,136,FA  303
AMST 100,1,Spring,2017,22,97,PAHB108
AMST 100,2,Spring,2017,4,97,PAHB108
AMST 100Y,1,Spring,2017,4,97,PAHB108
AMST 200,1,Spring,2017,4,250,FA  427
AMST 200,2,Spring,2017,23,250,FA  427
AMST 210,1,Spring,2017,9,619,FA  427
AMST 300,1,Spring,2017,8,249,FA 559
AMST 320,1,Spring,2017,14,295,ENGR022
AMST 320,2,Spring,2017,6,295,SOND112
AMST 320,3,Spring,2017,24,672,SG_32226
AMST 322,1,Spring,2017,25,672,PAHB234
AMST 352,1,Spring,2017,26,97,PAHB108
AMST 375,1,Spring,2017,9,249,FA  011
AMST 375,2,Spring,2017,3,249,FA  011
AMST 376,1,Spring,2017,14,659,SOND111
AMST 464,1,Spring,2017,6,62,FA 559
AMST 490,1,Spring,2017,27,338,FA 559
ANCS 150,1,Spring,2017,28,715,PAHB132
ANCS 202,1,Spring,2017,9,316,UC  115
ANCS 220,1,Spring,2017,29,258,FA  011
ANCS 375,1,Spring,2017,5,316,ITE 231
ANTH 101,1,Spring,2017,8,175,PUP 105
ANTH 211,1,Spring,2017,26,547,PHYS201
ANTH 211,3,Spring,2017,23,547,PHYS201
ANTH 211Y,1,Spring,2017,26,547,PHYS201
ANTH 211Y,3,Spring,2017,23,547,PHYS201
ANTH 214,1,Spring,2017,5,122,SOND107
ANTH 302,1,Spring,2017,25,175,FA  006
