time_slot_id,days,start_hr,start_min,end_hr,end_min
1,NNYNNNN,16,30,19,0
2,NYNYNNN,14,30,15,45
3,YNYNNNN,14,30,15,45
4,YNYNYNN,9,0,9,50
5,NYNYNNN,13,0,14,15
6,NYNYNNN,11,30,12,45
7,NYNNNNN,16,30,19,0
8,YNNNNNN,16,30,19,0
9,YNYNNNN,13,0,14,15
10,NYNYNNN,16,30,17,45
11,NYNYNNN,16,0,17,15
12,NYNYNNN,15,0,16,15
13,YNYNNNN,17,30,18,45
14,NYNYNNN,10,0,11,15
15,YNYNNNN,10,0,11,15
16,NNNYNNN,19,10,21,40
17,NYNNNNN,16,0,17,0
18,NYNNNNN,19,10,21,40
19,NNNYNNN,16,30,19,0
20,YNNNNNN,13,0,14,15
21,NNYNNNN,13,0,14,15
22,YNYNYNN,8,0,8,50
23,YNYNYNN,10,0,10,50
24,NNYNNNN,13,0,15,30
25,YNNNNNN,19,10,21,40
26,YNYNYNN,11,0,11,50
27,NYNNNNN,14,30,17,0
28,NNYNNNN,16,0,17,15
29,YNYNNNN,19,10,20,25
30,YNYNYNN,14,0,14,50
31,YNYNYNN,15,0,15,50
32,NYNYNNN,19,10,20,25
33,NYNYNNN,17,0,18,50
34,NYNYNNN,9,0,10,50
35,YNYNNNN,10,0,11,50
36,NYNYNNN,13,0,14,50
37,YNYNNNN,13,0,14,50
38,NYNYNNN,15,0,16,50
39,NYNYNNN,11,0,12,50
40,YNYNNNN,14,0,15,50
41,NYNNNNN,15,0,16,50
42,NNYNNNN,17,0,20,40
43,NNYNNNN,19,10,21,40
44,NYNNNNN,13,0,15,30
45,NYNYNNN,8,30,9,45
46,NYNYNNN,8,0,9,50
47,YNYNNNN,16,0,17,50
48,YNNNNNN,16,0,18,30
49,NNYNNNN,14,0,17,40
50,YNNNNNN,14,0,17,40
51,NNNYNNN,14,30,18,10
52,YNYNNNN,8,0,9,50
53,NNYNNNN,16,0,19,40
54,NYNNNNN,15,0,18,40
55,YNYNNNN,18,0,19,50
56,NNNYNNN,15,0,18,40
57,YNNNNNN,13,0,16,0
58,NYNNNNN,14,30,17,30
59,NNYNNNN,13,0,16,0
60,NNNYNNN,13,0,16,0
61,YNNNNNN,14,30,17,30
62,NYNNNNN,15,0,18,0
63,NNYNNNN,14,30,17,30
64,YNNNNNN,8,0,8,50
65,NYNNNNN,13,0,16,0
66,NYNNNNN,13,15,16,15
67,NNYNNNN,13,15,16,15
68,NNNYNNN,9,30,12,30
69,NNNYNNN,13,30,16,30
70,NNNNYNN,13,0,14,15
71,NYNNNNN,13,0,17,0
72,NNNYNNN,13,0,17,0
73,YNYNNNN,15,0,16,15
74,NNYNNNN,13,0,17,0
75,NNNYNNN,9,0,9,50
76,YNYNNNN,9,0,10,50
77,YNYNNNN,14,30,16,30
78,YNYNNNN,11,0,11,50
79,YNNNNNN,13,30,14,30
80,YNYNYNN,13,0,13,50
81,NNNNYNN,14,0,14,50
82,YNNNNNN,13,0,17,0
83,NNNNYNN,13,0,17,0
84,NYNYNNN,13,0,17,0
85,YNNNNNN,13,0,13,50
86,YNYNNNN,13,0,17,0
87,NYNYNNN,17,30,19,30
88,YNYNNNN,9,0,10,15
89,YNYNNNN,16,0,17,15
90,YNYNNNN,18,0,19,15
91,NNYNNNN,17,0,17,50
92,NYNYNNN,17,30,18,45
93,YNNNNNN,17,30,18,20
94,NYNNNNN,19,10,20,0
95,YNNNNNN,10,0,10,50
96,YNYNNNN,19,10,20,45
97,NNNYNNN,11,30,12,20
98,NYNYNNN,10,0,11,20
99,YNYNNNN,14,30,15,20
100,YNYNNNN,8,30,9,45
101,NYNNNNN,16,30,18,30
102,YNYNYNN,10,0,11,50
103,NYNYNNN,11,30,12,50
104,NNNYNNN,19,0,21,30
105,YNNNNNN,19,0,21,30
106,YNYNYNN,14,30,16,20
107,NNNYNNN,16,0,18,30
108,NYNNNNN,18,0,20,30
109,NNYNNNN,18,0,20,30
110,YNYNNNN,16,30,17,45
111,NYNNNNN,10,0,11,15
112,NNYNNNN,14,30,15,45
113,YNYNNNN,10,0,10,50
114,YNNNNNN,16,30,18,0
115,NNNYNNN,13,0,14,15
116,NNNNYNN,10,0,12,0
117,NNNYNNN,15,0,19,0
118,NNNYNNN,13,0,15,30
119,NYNNNNN,15,45,17,15
120,NYNNNNN,9,0,11,0
121,YNYNNNN,8,30,10,30
122,YNNNNNN,9,0,11,30
123,NNNYNNN,9,30,10,45
124,YNYNNNN,10,0,11,45
125,YNYNNNN,13,0,14,45
126,NYNYNNN,9,30,11,15
127,NNNYNNN,15,0,17,30
128,NNNNYNN,13,0,16,0
129,NNNNYNN,9,0,12,0
130,NNNYNNN,14,30,15,45
131,NNYNNNN,15,0,16,50
132,NNNYNNN,12,0,13,50
133,NNNYNNN,14,0,15,50
134,NNNYNNN,16,0,17,50
135,YNYNNNN,12,0,12,50
136,NNYNNNN,16,0,18,30
137,NYNYNNN,9,0,12,50
138,NNYNNNN,11,0,12,0
139,YNNNYNN,11,0,11,50
140,YNYNNNN,10,30,11,45
141,YNNNNNN,14,30,15,45
142,NNYNNNN,8,30,9,45
143,NNYNNNN,10,0,11,15
144,YNNNNNN,16,0,17,15
145,NYNNNNN,14,30,15,45
146,YNYNNNN,9,0,9,50
147,YNNNNNN,13,0,14,50
148,NNYNNNN,13,0,14,50
149,YNNNNNN,15,0,16,50
150,NNNYNNN,17,30,20,0
151,NYNNNNN,10,0,11,50
152,NYNNNNN,12,0,13,50
153,NYNNNNN,14,0,15,50
154,NNNYNNN,9,30,11,20
155,NNNYNNN,14,30,16,20
156,NNNYNNN,16,30,18,20
157,NNNNYNN,9,30,12,0
158,YNNNNNN,15,0,16,15
159,NYNNNNN,10,0,12,15
160,NNNNYNN,13,0,13,50
161,NNYNNNN,8,0,10,50
162,NNNNYNN,8,0,10,50
163,NNYNNNN,8,30,10,50
164,NNNNYNN,8,30,10,50
165,NYNNNNN,8,30,10,45
166,NYNNNNN,14,30,16,45
167,YYYYNNN,10,0,10,50
168,NNYNNNN,14,0,16,30
169,NYNNNNN,10,0,12,30
170,NNYNYNN,13,0,14,15
171,NNNYNNN,18,0,20,30
172,NNNYNNN,10,0,12,30
173,NNYNNNN,17,0,19,30
174,NNNNYNN,11,0,11,50
175,NNYNNNN,13,30,15,20
176,NNNYNNN,13,30,15,20
177,NYNNNNN,17,0,19,0
178,NNNNYNN,14,30,16,30
179,NNNYNNN,7,0,8,50
180,NNNYNNN,15,0,17,50
181,YNNNNNN,8,30,9,45
182,NNNNYNN,9,0,11,30
183,NYNNNNN,11,30,12,45
184,NNNNYNN,10,0,12,30
185,NNNYNNN,11,30,12,45
186,NNNNYNN,13,0,15,30
187,NNYNYNN,15,30,16,45
188,YYYYNNN,9,0,9,50
189,YYYYNNN,11,0,11,50
190,NYNNNNN,13,0,13,50
191,NNNYNNN,14,0,14,50
192,NNNYNNN,15,0,15,50
193,NNYNNNN,16,0,16,50
194,YNYNNNN,14,0,15,45
195,NNNNYNN,9,0,9,50
196,NNNNYNN,10,0,10,50
197,NYNYNNN,16,0,16,50
198,NYNNNNN,17,30,18,20
199,NYNNNNN,18,30,19,20
